repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,311,05c12cd4a057ac149e2d0956d2f85e11c5bfadf4,build_scripts/qt/resources.pri,modified,1,0,1,"@@ -49,6 +49,7 @@ DISTFILES += \
 	src/res/qml/video_page/miscvid/* \
 	src/res/qml/video_page/profiles/* \
 	src/res/qml/video_page/dialogboxes/* \
+	src/res/qml/video_page/overlaycolorbright/* \
     src/res/qml/common/* \
     src/res/qml/desktop_overlay_page/* \
     src/res/qml/desktop_overlay_page/translation_left_right/SteamDesktopTranslationLeftRight.qml \"
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,311,05c12cd4a057ac149e2d0956d2f85e11c5bfadf4,build_scripts/qt/sources.pri,modified,2,0,2,"@@ -15,6 +15,7 @@ SOURCES += src/main.cpp\
     src/openvr/ivrinput.cpp \
     src/utils/setup.cpp \
     src/utils/paths.cpp \
+	src/utils/FrameRateUtils.cpp \
     src/openvr/overlay_utils.cpp \
     src/keyboard_input/keyboard_input.cpp \
     src/keyboard_input/input_parser.cpp
@@ -45,6 +46,7 @@ HEADERS += src/overlaycontroller.h \
     src/openvr/ivrinput.h \
     src/utils/setup.h \
     src/utils/paths.h \
+	src/utils/FrameRateUtils.h \
     src/openvr/overlay_utils.h \
     src/keyboard_input/input_parser.h \
     src/keyboard_input/input_sender.h"
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,311,05c12cd4a057ac149e2d0956d2f85e11c5bfadf4,src/res/img/video/color.png,added,0,0,0,
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,311,05c12cd4a057ac149e2d0956d2f85e11c5bfadf4,src/res/qml/video_page/VideoPage.qml,modified,20,1,21,"@@ -8,14 +8,17 @@ import ""color""
 import ""supersampling""
 import ""miscvid""
 import ""profiles""
+import ""overlaycolorbright""
 
 MyStackViewPage {
     width: 1200
     headerText: ""Video Settings""
-
     content: ColumnLayout {
         spacing: 10
 
+        OverlayMethodGroupBox{
+        id: overlayMethodGroupBox
+        }
         BrightnessGroupBox {
         id: brightnessGroupBox}
         ColorGroupBox {
@@ -36,4 +39,20 @@ MyStackViewPage {
         }
 
     }
+    Component.onCompleted: {
+        overlayMethodGroupBox.visible = VideoTabController.isOverlayMethodActive
+        brightnessGroupBox.visible = !(VideoTabController.isOverlayMethodActive);
+        colorGroupBox.visible = !(VideoTabController.isOverlayMethodActive);
+    }
+
+    Connections {
+        target: VideoTabController
+            onIsOverlayMethodActiveChanged:{
+                overlayMethodGroupBox.visible = VideoTabController.isOverlayMethodActive
+                brightnessGroupBox.visible = !(VideoTabController.isOverlayMethodActive);
+                colorGroupBox.visible = !(VideoTabController.isOverlayMethodActive);
+            }
+
+    }
+
 }"
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,311,05c12cd4a057ac149e2d0956d2f85e11c5bfadf4,src/res/qml/video_page/brightness/BrightnessGroupBox.qml,modified,3,3,6,"@@ -36,7 +36,7 @@ GroupBox {
                 id: brightnessToggle
                 text: ""Toggle On/Off""
                 onCheckedChanged: {
-                    VideoTabController.setBrightnessEnabled(this.checked, false)                }
+                    VideoTabController.setBrightnessEnabled(this.checked, true)                }
             }
 
             Item {
@@ -57,12 +57,12 @@ GroupBox {
                 value: 1.0
                 Layout.fillWidth: true
                 onPositionChanged: {
-                    var val = (this.position * 100)
+                    var val = (this.value * 100)
                     brightnessValueText.text = Math.round(val) + ""%""
                 }
                 onValueChanged: {
 
-                    VideoTabController.setBrightnessValue(value.toFixed(2), false)
+                    VideoTabController.setBrightnessValue(value.toFixed(2), true)
                 }
             }
 "
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,311,05c12cd4a057ac149e2d0956d2f85e11c5bfadf4,src/res/qml/video_page/color/ColorGroupBox.qml,modified,6,6,12,"@@ -41,7 +41,7 @@ GroupBox {
             MySlider {
                 id: colorRedSlider
                 from: 0.01
-                to: 2.0
+                to: 1.0
                 stepSize: 0.01
                 value: 1.0
                 Layout.fillWidth: true
@@ -51,7 +51,7 @@ GroupBox {
                 }
                 onValueChanged: {
 
-                    VideoTabController.setColorRed(value.toFixed(2), false)
+                    VideoTabController.setColorRed(value.toFixed(2), true)
                 }
             }
 
@@ -85,7 +85,7 @@ GroupBox {
             MySlider {
                 id: colorGreenSlider
                 from: 0.01
-                to: 2.0
+                to: 1.0
                 stepSize: 0.01
                 value: 1.0
                 Layout.fillWidth: true
@@ -95,7 +95,7 @@ GroupBox {
                 }
                 onValueChanged: {
 
-                    VideoTabController.setColorGreen(value.toFixed(2), false)
+                    VideoTabController.setColorGreen(value.toFixed(2), true)
                 }
             }
 
@@ -130,7 +130,7 @@ GroupBox {
                 MySlider {
                     id: colorBlueSlider
                     from: 0.01
-                    to: 2.0
+                    to: 1.0
                     stepSize: 0.01
                     value: 1.0
                     Layout.fillWidth: true
@@ -140,7 +140,7 @@ GroupBox {
                     }
                     onValueChanged: {
 
-                        VideoTabController.setColorBlue(value.toFixed(2), false)
+                        VideoTabController.setColorBlue(value.toFixed(2), true)
                     }
                 }
 "
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,311,05c12cd4a057ac149e2d0956d2f85e11c5bfadf4,src/res/qml/video_page/miscvid/VideoMiscGroupBox.qml,modified,15,1,16,"@@ -50,14 +50,25 @@ GroupBox {
                     VideoTabController.setAllowSupersampleFiltering(this.checked, false)
                 }
             }
+            Item {
+                Layout.preferredWidth: 20
+            }
+
+            MyToggleButton {
+                id: videoUseOverlayToggle
+                text: ""Use Overlay For Color""
+                onCheckedChanged: {
+                    VideoTabController.setIsOverlayMethodActive(this.checked, true)
+                }
+            }
         }
 
     }
 
     Component.onCompleted: {
         videoAllowSupersampleFilteringToggle.checked = VideoTabController.allowSupersampleFiltering
         videoMotionSmoothingToggle.checked = VideoTabController.motionSmoothing
-
+        videoUseOverlayToggle.checked = VideoTabController.isOverlayMethodActive
     }
 
     Connections {
@@ -69,6 +80,9 @@ GroupBox {
         onMotionSmoothingChanged: {
             videoMotionSmoothingToggle.checked = VideoTabController.motionSmoothing
         }
+        onIsOverlayMethodActiveChanged:{
+            videoUseOverlayToggle.checked = VideoTabController.isOverlayMethodActive
+        }
 
     }
 }"
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,311,05c12cd4a057ac149e2d0956d2f85e11c5bfadf4,src/res/qml/video_page/overlaycolorbright/OverlayMethodGroupBox.qml,added,329,0,329,"@@ -0,0 +1,329 @@
+import QtQuick 2.7
+import QtQuick.Controls 2.0
+import QtQuick.Layouts 1.3
+import ovras.advsettings 1.0
+import ""../../common""
+
+GroupBox {
+    id: overlayMethodGroupBox
+    Layout.fillWidth: true
+
+    label: MyText {
+        leftPadding: 10
+        text: ""Brightness and Color (via overlay)""
+        bottomPadding: -10
+    }
+    background: Rectangle {
+        color: ""transparent""
+        border.color: ""#ffffff""
+        radius: 8
+    }
+
+    ColumnLayout {
+        anchors.fill: parent
+
+        Rectangle {
+            color: ""#ffffff""
+            height: 1
+            Layout.fillWidth: true
+            Layout.bottomMargin: 5
+        }
+
+        RowLayout {
+            Layout.fillWidth: true
+
+            MyToggleButton {
+                id: brightnessToggle
+                text: ""Toggle On/Off""
+                onCheckedChanged: {
+                    VideoTabController.setBrightnessEnabled(this.checked, true)
+                }
+            }
+
+            Item {
+                Layout.preferredWidth: 150
+            }
+
+            MyText {
+                text: ""Brightness:""
+                horizontalAlignment: Text.AlignRight
+                Layout.rightMargin: 10
+            }
+
+            MySlider {
+                id: brightnessSlider
+                from: 0.01
+                to: 1.0
+                stepSize: 0.01
+                value: 1.0
+                Layout.fillWidth: true
+                onPositionChanged: {
+                    var val = (this.value * 100)
+                    brightnessValueText.text = Math.round(val) + ""%""
+                }
+                onValueChanged: {
+
+                    VideoTabController.setBrightnessValue(value.toFixed(2), true)
+                }
+            }
+
+            MyTextField {
+                id: brightnessValueText
+                text: ""100%""
+                keyBoardUID: 902
+                Layout.preferredWidth: 100
+                Layout.leftMargin: 10
+                horizontalAlignment: Text.AlignHCenter
+                function onInputEvent(input) {
+                    var val2 = parseFloat(input)
+                    if (!isNaN(val2)) {
+                        if (val2 < 5) {
+                            val2 = 5
+                        } else if (val2 > 100.0) {
+                            val2 = 100.0
+                        }
+                        var v2 = (val2/100).toFixed(2)
+                            brightnessSlider.value = v
+                    }
+                    text = Math.round(VideoTabController.brightnessValue * 100) + ""%""
+                }
+            }
+        }
+
+        RowLayout {
+            Layout.fillWidth: true
+
+            MyToggleButton {
+                id: colorToggle
+                text: ""Toggle On/Off""
+                onCheckedChanged: {
+                    VideoTabController.setColorOverlayEnabled(this.checked, true)                }
+            }
+
+            Item {
+                Layout.preferredWidth: 150
+            }
+
+            MyText {
+                text: ""Opacity:""
+                horizontalAlignment: Text.AlignRight
+                Layout.rightMargin: 10
+            }
+
+            MySlider {
+                id: opacitySlider
+                from: 0.01
+                to: 0.85
+                stepSize: 0.01
+                value: 0.01
+                Layout.fillWidth: true
+                onPositionChanged: {
+                    var val = (this.value * 100)
+                    opacityValueText.text = Math.round(val) + ""%""
+                }
+                onValueChanged: {
+
+                    VideoTabController.setColorOverlayOpacity(this.value.toFixed(2), true)
+                }
+            }
+
+            MyTextField {
+                id: opacityValueText
+                text: ""1%""
+                keyBoardUID: 903
+                Layout.preferredWidth: 100
+                Layout.leftMargin: 10
+                horizontalAlignment: Text.AlignHCenter
+                function onInputEvent(input) {
+                    var val = parseFloat(input)
+                    if (!isNaN(val)) {
+                        if (val < 5) {
+                            val = 5
+                        } else if (val > 85.0) {
+                            val = 85.0
+                        }
+                        var v = (val/100).toFixed(2)
+                            opacitySlider.value = v
+                    }
+                    text = Math.round(VideoTabController.colorOverlayOpacity * 100) + ""%""
+                }
+            }
+        }
+
+        RowLayout {
+            Layout.fillWidth: true
+
+            MyText {
+                text: ""Red:""
+                horizontalAlignment: Text.AlignRight
+                Layout.preferredWidth: 75
+            }
+
+            MySlider {
+                id: colorRedSlider
+                from: 0.01
+                to: 1.0
+                stepSize: 0.01
+                value: 1.0
+                Layout.fillWidth: true
+                onPositionChanged: {
+                    var val = (this.value * 100)
+                    colorRedText.text = Math.round(val) + ""%""
+                }
+                onValueChanged: {
+
+                    VideoTabController.setColorRed(value.toFixed(2), true)
+                }
+            }
+
+            MyTextField {
+                id: colorRedText
+                text: ""100%""
+                keyBoardUID: 915
+                Layout.preferredWidth: 100
+                Layout.leftMargin: 10
+                horizontalAlignment: Text.AlignHCenter
+                function onInputEvent(input) {
+                    var val = parseFloat(input)
+                    if (!isNaN(val)) {
+                        if (val < 5) {
+                            val = 5
+                        } else if (val > 100.0) {
+                            val = 100.0
+                        }
+                        var v = (val/100).toFixed(2)
+                            colorRedSlider.value = v
+                    }
+                    text = Math.round(VideoTabController.colorRed * 100) + ""%""
+                }
+            }
+            MyText {
+                text: ""Green:""
+                horizontalAlignment: Text.AlignRight
+                Layout.preferredWidth: 85
+            }
+
+            MySlider {
+                id: colorGreenSlider
+                from: 0.01
+                to: 1.0
+                stepSize: 0.01
+                value: 1.0
+                Layout.fillWidth: true
+                onPositionChanged: {
+                    var val = (this.value * 100)
+                    colorGreenText.text = Math.round(val) + ""%""
+                }
+                onValueChanged: {
+
+                    VideoTabController.setColorGreen(value.toFixed(2), true)
+                }
+            }
+
+            MyTextField {
+                id: colorGreenText
+                text: ""100%""
+                keyBoardUID: 916
+                Layout.preferredWidth: 100
+                Layout.leftMargin: 10
+                horizontalAlignment: Text.AlignHCenter
+                function onInputEvent(input) {
+                    var val = parseFloat(input)
+                    if (!isNaN(val)) {
+                        if (val < 5) {
+                            val = 5
+                        } else if (val > 100.0) {
+                            val = 100.0
+                        }
+                        var v = (val/100).toFixed(2)
+                            colorGreenSlider.value = v
+                    }
+                    text = Math.round(VideoTabController.colorGreen * 100) + ""%""
+                }
+            }
+
+                MyText {
+                    text: ""Blue:""
+                    horizontalAlignment: Text.AlignRight
+                    Layout.preferredWidth: 75
+                }
+
+                MySlider {
+                    id: colorBlueSlider
+                    from: 0.01
+                    to: 1.0
+                    stepSize: 0.01
+                    value: 1.0
+                    Layout.fillWidth: true
+                    onPositionChanged: {
+                        var val = (this.value * 100)
+                        colorBlueText.text = Math.round(val) + ""%""
+                    }
+                    onValueChanged: {
+
+                        VideoTabController.setColorBlue(value.toFixed(2), true)
+                    }
+                }
+
+                MyTextField {
+                    id: colorBlueText
+                    text: ""100%""
+                    keyBoardUID: 917
+                    Layout.preferredWidth: 100
+                    Layout.leftMargin: 10
+                    horizontalAlignment: Text.AlignHCenter
+                    function onInputEvent(input) {
+                        var val = parseFloat(input)
+                        if (!isNaN(val)) {
+                            if (val < 5) {
+                                val = 5
+                            } else if (val > 100.0) {
+                                val = 100.0
+                            }
+                            var v = (val/100).toFixed(2)
+                                colorBlueSlider.value = v
+                        }
+                        text = Math.round(VideoTabController.colorBlue * 100) + ""%""
+                    }
+                }
+
+        }
+    }
+
+    Component.onCompleted: {
+        brightnessSlider.value = VideoTabController.brightnessValue
+        brightnessToggle.checked = VideoTabController.brightnessEnabled
+        colorToggle.checked = VideoTabController.colorOverlayEnabled
+        opacitySlider.value = VideoTabController.colorOverlayOpacity
+        colorRedSlider.value = VideoTabController.colorRed
+        colorGreenSlider.value = VideoTabController.colorGreen
+        colorBlueSlider.value = VideoTabController.colorBlue
+    }
+
+    Connections {
+        target: VideoTabController
+
+        onBrightnessValueChanged: {
+            brightnessSlider.value = VideoTabController.brightnessValue
+        }
+        onBrightnessEnabledChanged: {
+            brightnessToggle.checked = VideoTabController.brightnessEnabled
+        }
+        onColorOverlayOpacityChanged:{
+            opacitySlider.value = VideoTabController.colorOverlayOpacity
+        }
+        onColorOverlayEnabledChanged:{
+            colorToggle.checked = VideoTabController.colorOverlayEnabled
+        }
+
+        onColorRedChanged:{
+            colorRedSlider.value = VideoTabController.colorRed
+        }
+        onColorGreenChanged:{
+            colorGreenSlider.value = VideoTabController.colorGreen
+        }
+        onColorBlueChanged:{
+            colorBlueSlider.value = VideoTabController.colorBlue
+        }
+    }
+}"
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,311,05c12cd4a057ac149e2d0956d2f85e11c5bfadf4,src/tabcontrollers/AudioTabController.cpp,modified,3,1,4,"@@ -20,6 +20,8 @@ void AudioTabController::initStage1()
     audioManager.reset( new AudioManagerDummy() );
 #endif
     audioManager->init( this );
+    m_k_audioSettingsUpdateCounter
+        = utils::adjustUpdateRate( k_audioSettingsUpdateCounter );
     m_playbackDevices = audioManager->getPlaybackDevices();
     m_recordingDevices = audioManager->getRecordingDevices();
     findPlaybackDeviceIndex( audioManager->getPlaybackDevId(), false );
@@ -165,7 +167,7 @@ void AudioTabController::eventLoopTick()
         return;
     }
 
-    if ( settingsUpdateCounter >= k_audioSettingsUpdateCounter )
+    if ( settingsUpdateCounter >= m_k_audioSettingsUpdateCounter )
     {
         vr::EVRSettingsError vrSettingsError;
         char mirrorDeviceId[1024];"
OpenVR-Advanced-Settings/OpenVR-AdvancedSettings,311,05c12cd4a057ac149e2d0956d2f85e11c5bfadf4,src/tabcontrollers/AudioTabController.h,modified,3,0,3,"@@ -4,6 +4,7 @@
 #include ""AudioManager.h""
 #include ""PttController.h""
 #include <memory>
+#include ""../utils/FrameRateUtils.h""
 
 class QQuickWindow;
 // application namespace
@@ -73,6 +74,8 @@ class AudioTabController : public PttController
     bool m_micReversePtt = false;
     bool m_isDefaultAudioProfile = false;
 
+    unsigned int m_k_audioSettingsUpdateCounter = 90;
+
     int m_defaultProfileIndex = -1;
 
     unsigned settingsUpdateCounter = 0;"
