repo,issue_id,commit_sha,filename,file_status,additions,deletions,changes,patch
Unity-Technologies/EditorXR,4,186666fa001d2b609dfebcaee034d630432b2e2f,.gitignore,added,12,0,12,"@@ -0,0 +1,12 @@
+artifacts/**
+build/**
+.build_script/**
+node_modules/**
+.DS_Store
+.npmrc
+!Documentation~
+!.Documentation
+npm-debug.log
+build.sh.meta
+build.bat.meta
+.idea/"
Unity-Technologies/EditorXR,4,186666fa001d2b609dfebcaee034d630432b2e2f,.gitmodules,modified,6,6,12,"@@ -1,10 +1,10 @@
-[submodule ""libs/input-prototype""]
-	path = libs/input-prototype
+[submodule ""Runtime/libs/input-prototype""]
+	path = Runtime/libs/input-prototype
 	url=https://github.com/Unity-Technologies/input-prototype.git
 	branch = editorvr/main
-[submodule ""libs/UnityOctree""]
-	path = libs/UnityOctree
+[submodule ""Runtime/libs/UnityOctree""]
+	path = Runtime/libs/UnityOctree
 	url=https://github.com/Unity-Technologies/UnityOctree.git
-[submodule ""libs/VRLineRenderer""]
-	path = libs/VRLineRenderer
+[submodule ""Runtime/libs/VRLineRenderer""]
+	path = Runtime/libs/VRLineRenderer
 	url = https://github.com/Unity-Technologies/VRLineRenderer"
Unity-Technologies/EditorXR,4,186666fa001d2b609dfebcaee034d630432b2e2f,.npmignore,added,19,0,19,"@@ -0,0 +1,19 @@
+artifacts/**
+build/**
+.build_script/**
+node_modules/**
+Documentation/ApiDocs/**
+Documentation~/ApiDocs/**
+.DS_Store
+.npmrc
+.npmignore
+.gitignore
+CONTRIBUTING.md
+CONTRIBUTING.md.meta
+QAReport.md
+QAReport.md.meta
+.gitlab-ci.yml
+build.sh
+build.sh.meta
+build.bat
+build.bat.meta"
Unity-Technologies/EditorXR,4,186666fa001d2b609dfebcaee034d630432b2e2f,.yamato/promotion.yml,added,92,0,92,"@@ -0,0 +1,92 @@
+test_editors:
+  - version: 2019.1
+test_platforms:
+  - name: win
+    type: Unity::VM
+    image: package-ci/win10:stable
+    flavor: m1.large
+---
+promotion_fetch:
+  name: Fetch Package From Internal Registry
+  agent:
+    type: Unity::VM
+    image: package-ci/win10:stable
+    flavor: m1.large
+  variables:
+    UPMCI_PROMOTION: 1
+  commands:
+    - npm install upm-ci-utils@latest -g --registry https://api.bintray.com/npm/unity/unity-npm
+    - upm-ci package pack
+  artifacts:
+    packages:
+      paths:
+        - ""upm-ci~/packages/**/*""
+
+{% for editor in test_editors %}
+{% for platform in test_platforms %}
+promotion_test_{{ platform.name }}_{{ editor.version }}:
+  name : Promotion Test {{ editor.version }} on {{ platform.name }}
+  agent:
+    type: {{ platform.type }}
+    image: {{ platform.image }}
+    flavor: {{ platform.flavor}}
+  variables:
+    UPMCI_PROMOTION: 1
+  commands:
+    - npm install upm-ci-utils@latest -g --registry https://api.bintray.com/npm/unity/unity-npm
+    - upm-ci package test --unity-version {{ editor.version }}
+  artifacts:
+    logs:
+      paths:
+        - ""upm-ci~/test-results/**/*""
+  dependencies:
+    - .yamato/promotion.yml#promotion_fetch
+{% endfor %}
+{% endfor %}
+
+promotion_test_trigger:
+  name: Promotion Tests Trigger
+  agent:
+    type: Unity::VM
+    image: package-ci/win10:stable
+    flavor: m1.large
+  artifacts:
+    logs:
+      paths:
+        - ""upm-ci~/test-results/**/*""
+    packages:
+      paths:
+        - ""upm-ci~/packages/**/*""
+  dependencies:
+{% for editor in test_editors %}
+{% for platform in test_platforms %}
+    - .yamato/promotion.yml#promotion_test_{{platform.name}}_{{editor.version}}
+{% endfor %}
+{% endfor %}
+
+promote:
+  name: Promote to Production
+  agent:
+    type: Unity::VM
+    image: package-ci/win10:stable
+    flavor: m1.large
+  variables:
+    UPMCI_PROMOTION: 1
+  commands:
+    - npm install upm-ci-utils@latest -g --registry https://api.bintray.com/npm/unity/unity-npm
+    - upm-ci package promote
+  triggers:
+    tags:
+      only:
+        - /^(r|R)elease-\d+\.\d+\.\d+(-preview(\.\d+)?)?$/
+  artifacts:
+    artifacts:
+      paths:
+        - ""upm-ci~/packages/*.tgz""
+  dependencies:
+    - .yamato/promotion.yml#promotion_fetch
+{% for editor in test_editors %}
+{% for platform in test_platforms %}
+    - .yamato/promotion.yml#promotion_test_{{ platform.name }}_{{ editor.version }}
+{% endfor %}
+{% endfor %}
\ No newline at end of file"
Unity-Technologies/EditorXR,4,186666fa001d2b609dfebcaee034d630432b2e2f,.yamato/upm-ci.yml,added,98,0,98,"@@ -0,0 +1,98 @@
+test_editors:
+  - version: 2019.1
+  - version: trunk
+test_platforms:
+  - name: win
+    type: Unity::VM
+    image: package-ci/win10:stable
+    flavor: m1.large
+  - name: mac
+    type: Unity::VM::osx
+    image: buildfarm/mac:stable
+    flavor: m1.mac
+---
+pack:
+  name: Pack
+  agent:
+    type: Unity::VM
+    image: package-ci/win10:stable
+    flavor: m1.large
+  commands:
+    - npm install upm-ci-utils@stable -g --registry https://api.bintray.com/npm/unity/unity-npm
+    - upm-ci package pack
+  artifacts:
+    packages:
+      paths:
+        - ""upm-ci~/**/*""
+
+{% for editor in test_editors %}
+{% for platform in test_platforms %}
+test_{{ platform.name }}_{{ editor.version }}:
+  name : Test {{ editor.version }} on {{ platform.name }}
+  agent:
+    type: {{ platform.type }}
+    image: {{ platform.image }}
+    flavor: {{ platform.flavor}}
+  commands:
+    - npm install upm-ci-utils@stable -g --registry https://api.bintray.com/npm/unity/unity-npm
+    - upm-ci package test --unity-version {{ editor.version }}
+  artifacts:
+    logs:
+      paths:
+        - ""upm-ci~/test-results/**/*""
+  dependencies:
+    - .yamato/upm-ci.yml#pack
+{% endfor %}
+{% endfor %}
+
+test_trigger:
+  name: Tests Trigger
+  agent:
+    type: Unity::VM
+    image: package-ci/win10:stable
+    flavor: m1.large
+  commands:
+    - dir
+  triggers:
+    branches:
+      only:
+        - ""/.*/""
+  artifacts:
+    logs:
+      paths:
+        - ""upm-ci~/test-results/**/*""
+    packages:
+      paths:
+        - ""upm-ci~/packages/**/*""
+  dependencies:
+    - .yamato/upm-ci.yml#pack
+    {% for editor in test_editors %}
+    {% for platform in test_platforms %}
+    - .yamato/upm-ci.yml#test_{{platform.name}}_{{editor.version}}
+    {% endfor %}
+    {% endfor %}
+
+publish:
+  name: Publish to Internal Registry
+  agent:
+    type: Unity::VM
+    image: package-ci/win10:stable
+    flavor: m1.large
+  commands:
+    - npm install upm-ci-utils@stable -g --registry https://api.bintray.com/npm/unity/unity-npm
+    - upm-ci package publish
+  triggers:
+    tags:
+      only:
+        - /^(r|R)(c|C)-\d+\.\d+\.\d+(-preview(\.\d+)?)?$/
+  artifacts:
+    artifacts:
+      paths:
+        - ""upm-ci~/packages/*.tgz""
+  dependencies:
+    - .yamato/upm-ci.yml#pack
+    {% for editor in test_editors %}
+    {% for platform in test_platforms %}
+    - .yamato/upm-ci.yml#test_{{ platform.name }}_{{ editor.version }}
+    {% endfor %}
+    {% endfor %}
\ No newline at end of file"
Unity-Technologies/EditorXR,4,186666fa001d2b609dfebcaee034d630432b2e2f,AssemblyInfo.cs,removed,0,9,9,"@@ -1,9 +0,0 @@
-﻿using System.Runtime.CompilerServices;
-
-// This is necessary to allow cross-communication between assemblies for classes in the UnityEditor.Experimental.EditorVR
-// namespace; The plan is that all code will eventually be within a single assembly.
-
-[assembly: InternalsVisibleTo(""Assembly-CSharp-Editor"")]
-[assembly: InternalsVisibleTo(""EXR-Editor"")]
-[assembly: InternalsVisibleTo(""EXR-Tests"")]
-[assembly: InternalsVisibleTo(""EXR-Tests-Editor"")]"
Unity-Technologies/EditorXR,4,186666fa001d2b609dfebcaee034d630432b2e2f,CHANGELOG.md,added,11,0,11,"@@ -0,0 +1,11 @@
+# Changelog
+All notable changes to this package will be documented in this file.
+
+The format is based on [Keep a Changelog](http://keepachangelog.com/en/1.0.0/)
+and this project adheres to [Semantic Versioning](http://semver.org/spec/v2.0.0.html).
+
+## [0.1.0] - 2017-MM-DD
+
+### This is the first release of *Unity Package \<Your package name\>*.
+
+*Short description of this release*"
Unity-Technologies/EditorXR,4,186666fa001d2b609dfebcaee034d630432b2e2f,CHANGELOG.md.meta,added,7,0,7,"@@ -0,0 +1,7 @@
+fileFormatVersion: 2
+guid: 33427ba1e16fe6a46abfcadf3874ae9b
+TextScriptImporter:
+  externalObjects: {}
+  userData: 
+  assetBundleName: 
+  assetBundleVariant: "
Unity-Technologies/EditorXR,4,186666fa001d2b609dfebcaee034d630432b2e2f,CONTRIBUTING.md,added,9,0,9,"@@ -0,0 +1,9 @@
+# Contributing
+
+## If you are interested in contributing, here are some ground rules:
+* ... Define guidelines & rules for what contributors need to know to successfully make Pull requests against your repo ...
+
+## All contributions are subject to the [Unity Contribution Agreement(UCA)](https://unity3d.com/legal/licenses/Unity_Contribution_Agreement)
+By making a pull request, you are confirming agreement to the terms and conditions of the UCA, including that your Contributions are your original creation and that you have complete right and authority to make your Contributions.
+
+## Once you have a change ready following these ground rules. Simply make a pull request"
Unity-Technologies/EditorXR,4,186666fa001d2b609dfebcaee034d630432b2e2f,CONTRIBUTING.md.meta,added,7,0,7,"@@ -0,0 +1,7 @@
+fileFormatVersion: 2
+guid: e03e6836d5fbf0f4f9c5096ab7186147
+TextScriptImporter:
+  externalObjects: {}
+  userData: 
+  assetBundleName: 
+  assetBundleVariant: "
